row,column,¿¹Ãø°ª
2,E,
2,F,
2,G,
2,J,
2,K,
2,O,
3,K,
3,L,
3,O,
4,E,
4,F,
4,G,
4,J,
4,K,
4,O,
5,J,
5,K,
5,O,
5,P,
6,K,
6,L,
6,O,
7,C,
7,D,
7,E,
8,H,
8,I,
8,L,
9,C,
9,D,
9,E,
9,O,
10,E,
10,F,
10,G,
10,J,
10,K,
10,O,
11,L,
11,M,
11,N,
12,C,
12,D,
12,E,
13,D,
13,E,
13,G,
14,C,
14,D,
14,F,
15,J,
15,K,
15,L,
15,P,
16,E,
16,F,
16,G,
16,P,
17,D,
17,E,
17,G,
18,A,
18,C,
18,D,
18,P,
19,J,
19,K,
19,L,
19,P,
20,J,
20,K,
20,O,
20,P,
21,M,
21,N,
22,L,
22,M,
22,N,
23,L,
23,M,
23,N,
24,E,
24,F,
24,G,
24,P,
25,H,
25,I,
25,L,
25,O,
26,H,
26,I,
26,L,
27,C,
27,D,
27,E,
28,C,
28,D,
28,E,
28,O,
29,M,
29,N,
30,A,
30,C,
30,D,
30,K,
30,L,
31,C,
31,D,
31,E,
31,O,
31,P,
32,J,
32,K,
32,O,
32,P,
33,L,
33,M,
33,N,
34,E,
34,F,
34,G,
34,K,
34,L,
34,P,
35,C,
35,D,
35,E,
35,O,
35,P,
36,A,
36,C,
36,D,
36,P,
37,A,
37,C,
37,D,
37,K,
37,L,
38,C,
38,D,
38,O,
39,C,
39,D,
39,E,
40,C,
40,D,
40,K,
40,L,
40,O,
41,L,
41,M,
41,N,
42,D,
42,G,
42,I,
42,O,
43,M,
43,N,
44,C,
44,D,
44,O,
45,D,
45,G,
45,I,
45,O,
46,D,
46,G,
46,I,
46,O,
47,A,
47,C,
47,D,
47,K,
47,L,
48,C,
48,D,
48,F,
49,J,
49,K,
49,L,
49,P,
50,E,
50,F,
50,G,
50,P,
51,E,
51,F,
51,G,
51,P,
